product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/fabbmate-casual-sports-shoes-white-sneakers-women-girls/p/itm47b0c0e22498b?pid=SHOHF5MMYXZFMXXV&lid=LSTSHOHF5MMYXZFMXXVORUOEN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_OaHb1dH5v305WDihPqPSYHUZF46GRLBZdgU7s5fZxIWrVYU1ui1kxPa7q5oMAymHTUwnfXD41X1y9dNwQpMoZw%3D%3D&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Fabbmate Casual Sports shoes White Sneakers for Women Girls White Shoes Sneakers For Women,Fabbmate ,409,0.59,4,5069
https://www.flipkart.com/asian-firefly-04-white-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itm508025c63da8f?pid=SHOGGGAUAXRZHZG9&lid=LSTSHOGGGAUAXRZHZG9HU6JGT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_OaHb1dH5v305WDihPqPSYHUZF46GRLBZdgU7s5fZxIWDVpneILkY1vAND2z2ECQtDmpG9oJPVknPkhJ6Ik9qc_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,"Firefly-04 White Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women",asian ,797,0.2,4,13378
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itmc5814f4e2a802?pid=SHOGH3YUZDZYEJ5Q&lid=LSTSHOGH3YUZDZYEJ5Q1PSPNZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=BestsellerId_osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGH3YUZDZYEJ5Q.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Memory Foam Running Shoes For Women",Fabbmate ,299,0.62,4,78966
https://www.flipkart.com/apippo-training-gym-shoes-women/p/itm0c23e89599882?pid=SHOGVGUUVH8TZSMZ&lid=LSTSHOGVGUUVH8TZSMZA3RPVL&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGVGUUVH8TZSMZ.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Training & Gym Shoes For Women,APIPPO ,748,0.62,3.5,99
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itmd8c31be65fd74?pid=SHOH5NYBHFJYQVMD&lid=LSTSHOH5NYBHFJYQVMDBGSFAJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_OaHb1dH5v305WDihPqPSYHUZF46GRLBZdgU7s5fZxIVSmlESDqOB4iCSoEXTXyFl_mz_kSJ1x7N3-ohdN-G38Q%3D%3D&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Trendy Sports Running Shoes For Women,Footox ,449,0.55,3.5,110
https://www.flipkart.com/fabbmate-casual-sports-shoes-white-sneakers-women-girls/p/itm13d239387dce2?pid=SHOH2W6ZGHSPEUGH&lid=LSTSHOH2W6ZGHSPEUGH8P4Y9I&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_OaHb1dH5v305WDihPqPSYHUZF46GRLBZdgU7s5fZxIWXuJcjq9TQsgc_kWmTGcXQHl_3MRXUg_B6jfyELiItZg%3D%3D&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Fabbmate Casual Sports shoes White Sneakers for Women Girls White Shoes Sneakers For Women,Fabbmate ,429,0.57,4,5069
https://www.flipkart.com/bxxy-women-s-mesh-material-new-grey-casual-sports-running-laceup-light-weight-shoes-walking-women/p/itmea22c7f3794f5?pid=SHOGZYC96GGCGPCV&lid=LSTSHOGZYC96GGCGPCV7SI51H&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGZYC96GGCGPCV.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,"Women's Mesh Material New Grey Casual Sports Running Laceup, Light Weight Shoes Walking Shoes For Women",BXXY ,1199,0.76,,
https://www.flipkart.com/friend-s-traders-running-shoes-women/p/itm73676bad1ec97?pid=SHOGXRPJBTBXQVST&lid=LSTSHOGXRPJBTBXQVSTSPK3I6&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGXRPJBTBXQVST.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Running Shoes For Women,Friend's Traders ,712,0.4,4.2,5
https://www.flipkart.com/rindas-walking-shoes-women/p/itm38f5efd03800f?pid=SHOFXYQJMYAFFHA2&lid=LSTSHOFXYQJMYAFFHA2HQVWII&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOFXYQJMYAFFHA2.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Walking Shoes For Women,RINDAS ,398,0.6,4.1,438
https://www.flipkart.com/vokline-sports-shoes-trekking-shoes-running-shoes-gym-shoes-women-walking/p/itm119cf8f5a660d?pid=SHOGBSKGMHXDPP5Z&lid=LSTSHOGBSKGMHXDPP5Z7XWQZJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=BestsellerId_osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGBSKGMHXDPP5Z.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,"Vokline Sports shoes,trekking shoes, Running shoes,gym shoes For Women Walking Shoes For Women",Vokline ,299,0.7,4.1,101097
